Datetime;P;L;T
01.01.01 0:00:20;973,1;30,127;22,878
01.01.01 0:00:30;1014,7;30,752;25,951
01.01.01 0:00:40;979;31,214;28,08
01.01.01 0:00:50;978,2;32,662;29,89
01.01.01 0:01:00;1012;32,007;31,742
01.01.01 0:01:10;991;30,649;32,733
01.01.01 0:01:20;1010,7;31,295;36,362
01.01.01 0:01:30;1023;30,788;37,818
01.01.01 0:01:40;1030,5;30,748;39,149
01.01.01 0:01:50;1004,6;31,409;42,322
01.01.01 0:02:00;1012,5;29,883;44,26
01.01.01 0:02:10;1026,9;31,358;45,334
01.01.01 0:02:20;992,6;31,758;46,262
01.01.01 0:02:30;1008,4;30,872;50,246
01.01.01 0:02:40;978,9;31,092;49,631
01.01.01 0:02:50;999,8;32,704;53,092
01.01.01 0:03:00;1022,4;30,841;55,033
01.01.01 0:03:10;1016,6;32,315;55,769
01.01.01 0:03:20;1032,2;30,814;56,82
01.01.01 0:03:30;1025,1;31,414;61,511
01.01.01 0:03:40;987,4;30,693;60,591
01.01.01 0:03:50;987,4;31,659;64,94
01.01.01 0:04:00;998,9;30,436;64,933
01.01.01 0:04:10;1002,3;30,823;67,917
01.01.01 0:04:20;981,8;31,286;70,149
01.01.01 0:04:30;1011,7;31,672;70,296
01.01.01 0:04:40;1023,4;32,638;74,045
01.01.01 0:04:50;990,3;31,418;74,484
01.01.01 0:05:00;1003;32,627;76,521
01.01.01 0:05:10;984,4;31,15;75,135
01.01.01 0:05:20;1023,7;29,821;80,245
01.01.01 0:05:30;1034,8;29,966;78,585
01.01.01 0:05:40;1014,7;31,096;81,034
01.01.01 0:05:50;1032,9;31,906;82,12
01.01.01 0:06:00;982,1;31,53;83,011
01.01.01 0:06:10;995,9;30,372;87,538
01.01.01 0:06:20;987,7;30,622;88,516
01.01.01 0:06:30;1027,3;32,206;89,495
01.01.01 0:06:40;1006;32,687;88,341
01.01.01 0:06:50;978,6;30,947;93,328
01.01.01 0:07:00;985,4;30,704;96,016
01.01.01 0:07:10;1012,4;30,926;96,332
01.01.01 0:07:20;1038,1;31,208;97,505
01.01.01 0:07:30;997,4;29,799;98,347
01.01.01 0:07:40;980,4;31,215;98,223
01.01.01 0:07:50;3,2;9,553;99,58
01.01.01 0:08:00;8,1;9,786;98,246
01.01.01 0:08:10;3,2;9,46;97,312
01.01.01 0:08:20;0,8;9,435;97,915
01.01.01 0:08:30;3,4;9,39;95,631
01.01.01 0:08:40;9,3;9,807;93,122
01.01.01 0:08:50;3,6;9,296;94,129
